Fri Apr 23 16:10:32 2021    output.dat

         899508 function calls (875517 primitive calls) in 1.082 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      346    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:78(acquire)
1455/1287    0.001    0.000    0.001    0.000 {built-in method builtins.sorted}
      562    0.001    0.000    0.001    0.000 C:\Users\DALab\anaconda3\lib\site-packages\llvmlite\ir\values.py:120(__init__)
3261/3259    0.001    0.000    0.019    0.000 C:\Users\DALab\anaconda3\lib\xml\etree\ElementTree.py:1224(iterator)
      462    0.001    0.000    0.003    0.000 C:\Users\DALab\anaconda3\lib\site-packages\pandas\core\series.py:839(__getitem__)
     4919    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
     2165    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
     1213    0.001    0.000    0.001    0.000 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\typing\context.py:445(_lookup_global)
     4255    0.001    0.000    0.001    0.000 {method 'items' of 'dict' objects}
     5685    0.001    0.000    0.001    0.000 {method 'extend' of 'list' objects}
      647    0.001    0.000    0.027    0.000 C:\Users\DALab\anaconda3\lib\site-packages\pkg_resources\__init__.py:2763(_get_metadata)
      282    0.001    0.000    0.003    0.000 C:\Users\DALab\anaconda3\lib\site-packages\pkg_resources\__init__.py:2484(parse)
     2993    0.001    0.000    0.001    0.000 C:\Users\DALab\anaconda3\lib\site-packages\llvmlite\ir\_utils.py:13(is_used)
      928    0.001    0.000    0.001    0.000 C:\Users\DALab\anaconda3\lib\site-packages\openpyxl\descriptors\base.py:126(__set__)
      955    0.001    0.000    0.058    0.000 <frozen importlib._bootstrap_external>:80(_path_stat)
      335    0.001    0.000    0.002    0.000 C:\Users\DALab\anaconda3\lib\ntpath.py:61(isabs)
      577    0.001    0.000    0.002    0.000 C:\Users\DALab\anaconda3\lib\weakref.py:382(__getitem__)
      281    0.001    0.000    0.019    0.000 <frozen importlib._bootstrap>:549(module_from_spec)
     4806    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
     4110    0.001    0.000    0.002    0.000 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\typing\templates.py:1186(new_registrations)
     1230    0.001    0.000    0.001    0.000 C:\Users\DALab\anaconda3\lib\site-packages\openpyxl\cell\read_only.py:14(__init__)
      866    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:389(parent)
      928    0.001    0.000    0.001    0.000 C:\Users\DALab\anaconda3\lib\site-packages\openpyxl\descriptors\base.py:140(__set__)
      789    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:51(_unpack_uint32)
      625    0.001    0.000    0.004    0.000 C:\Users\DALab\anaconda3\lib\site-packages\llvmlite\binding\ffi.py:67(__enter__)
      302    0.001    0.000    0.003    0.000 C:\Users\DALab\anaconda3\lib\site-packages\llvmlite\ir\builder.py:964(extract_value)
       97    0.001    0.000    0.009    0.000 C:\Users\DALab\anaconda3\lib\site-packages\openpyxl\styles\fonts.py:101(from_tree)
      125    0.001    0.000    0.001    0.000 C:\Users\DALab\anaconda3\lib\sre_compile.py:276(_optimize_charset)
      335    0.001    0.000    0.003    0.000 C:\Users\DALab\anaconda3\lib\site-packages\pkg_resources\__init__.py:1478(_validate_resource_path)
      507    0.001    0.000    0.001    0.000 C:\Users\DALab\anaconda3\lib\site-packages\openpyxl\descriptors\sequence.py:23(__set__)
        1    0.001    0.001    0.011    0.011 C:\Users\DALab\anaconda3\lib\site-packages\openpyxl\reader\strings.py:9(read_string_table)
      467    0.001    0.000    0.002    0.000 C:\Users\DALab\anaconda3\lib\site-packages\openpyxl\descriptors\base.py:102(__set__)
      216    0.001    0.000    0.007    0.000 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\extending.py:119(decorate)
      579    0.001    0.000    0.001    0.000 C:\Users\DALab\anaconda3\lib\site-packages\openpyxl\styles\named_styles.py:76(__setattr__)
      168    0.001    0.000    0.001    0.000 C:\Users\DALab\anaconda3\lib\site-packages\llvmlite\ir\values.py:683(__init__)
     1302    0.000    0.000    0.001    0.000 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\event.py:50(_guard_kind)
      565    0.000    0.000    0.029    0.000 C:\Users\DALab\anaconda3\lib\site-packages\pkg_resources\__init__.py:3180(split_sections)
      648    0.000    0.000    0.001    0.000 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\event.py:254(on_end)
   153/53    0.000    0.000    0.008    0.000 C:\Users\DALab\anaconda3\lib\sre_parse.py:435(_parse_sub)
      302    0.000    0.000    0.001    0.000 C:\Users\DALab\anaconda3\lib\site-packages\llvmlite\ir\instructions.py:639(descr)
      160    0.000    0.000    0.003    0.000 C:\Users\DALab\anaconda3\lib\site-packages\colorama\ansitowin32.py:73(__init__)
       69    0.000    0.000    0.001    0.000 C:\Users\DALab\anaconda3\lib\site-packages\llvmlite\ir\instructions.py:65(__init__)
      509    0.000    0.000    0.002    0.000 C:\Users\DALab\anaconda3\lib\site-packages\openpyxl\styles\numbers.py:104(is_date_format)
      281    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1426(_get_spec)
     3022    0.000    0.000    0.001    0.000 {built-in method builtins.issubclass}
       95    0.000    0.000    0.037    0.000 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\lowering.py:321(lower_inst)
      625    0.000    0.000    0.004    0.000 C:\Users\DALab\anaconda3\lib\site-packages\llvmlite\binding\ffi.py:73(__exit__)
      207    0.000    0.000    0.002    0.000 C:\Users\DALab\anaconda3\lib\site-packages\llvmlite\ir\builder.py:768(store)
      335    0.000    0.000    0.005    0.000 C:\Users\DALab\anaconda3\lib\site-packages\pkg_resources\__init__.py:1472(_fn)
     1530    0.000    0.000    0.001    0.000 C:\Users\DALab\anaconda3\lib\sre_parse.py:254(get)
     1230    0.000    0.000    0.003    0.000 C:\Users\DALab\anaconda3\lib\site-packages\openpyxl\cell\read_only.py:99(is_date)
     1230    0.000    0.000    0.003    0.000 C:\Users\DALab\anaconda3\lib\site-packages\openpyxl\cell\cell.py:246(is_date)
      302    0.000    0.000    0.002    0.000 C:\Users\DALab\anaconda3\lib\site-packages\llvmlite\ir\instructions.py:624(__init__)
  669/665    0.000    0.000    0.003    0.000 {built-in method builtins.any}
      272    0.000    0.000    0.034    0.000 C:\Users\DALab\anaconda3\lib\site-packages\pkg_resources\__init__.py:2526(parse_map)
       95    0.000    0.000    0.005    0.000 C:\Users\DALab\anaconda3\lib\site-packages\pandas\core\construction.py:423(sanitize_array)
